taxi_st_type,taxi_st_lat,taxi_st_lon,pln_area
TAXI STAND,1.28126053659933,103.844358266128,OUTRAM
TAXI STAND,1.28140897768475,103.847445944067,OUTRAM
TAXI STAND,1.31055921876698,103.847510223867,KALLANG
TAXI STAND,1.28239093815433,103.845270402484,OUTRAM
TAXI STAND,1.28247899091206,103.846251189423,OUTRAM
TAXI STAND,1.2828723702012,103.844046135487,OUTRAM
TAXI STAND,1.28184782580222,103.848946287147,OUTRAM
TAXI STOP,1.28022560504651,103.84875808814,DOWNTOWN CORE
TAXI STAND,1.38265239389281,103.893186157785,SENGKANG
TAXI STOP,1.27893906160004,103.847973162739,DOWNTOWN CORE
TAXI STAND,1.41709038337595,103.833057754201,YISHUN
TAXI STOP,1.42186288906152,103.761265291548,SUNGEI KADUT
TAXI PICK UP,1.27155034365993,103.819213377557,BUKIT MERAH
TAXI STAND,1.32169606627462,103.846320896984,NOVENA
TAXI STOP,1.32512653371208,103.841565863546,NOVENA
TAXI STAND,1.3172544131326,103.844052492177,NOVENA
TAXI STAND,1.31962930185262,103.843572413725,NOVENA
TAXI STOP,1.28020278919656,103.850592325614,DOWNTOWN CORE
TAXI STAND,1.35089274175113,103.872910490828,SERANGOON
TAXI STOP,1.28563192767805,103.853796596424,DOWNTOWN CORE
TAXI STAND,1.32146820183483,103.814425089796,TANGLIN
TAXI STAND,1.38529328610379,103.901242888528,SENGKANG
TAXI STAND,1.30223233388227,103.905037130148,MARINE PARADE
TAXI STAND,1.29194380549074,103.850347760787,DOWNTOWN CORE
TAXI STOP,1.29098084673617,103.851396302339,DOWNTOWN CORE
TAXI STAND,1.29181937276629,103.849474752726,MUSEUM
TAXI STOP,1.29112544910464,103.850407276275,DOWNTOWN CORE
TAXI STOP,1.2944757611235,103.852906624599,DOWNTOWN CORE
TAXI STOP,1.29435646928139,103.848185471178,MUSEUM
TAXI STAND,1.28175441923505,103.841696654168,OUTRAM
TAXI STAND,1.28038085218776,103.840639419463,OUTRAM
TAXI STAND,1.28125493753887,103.839130335372,OUTRAM
TAXI STAND,1.27886665476132,103.841832426987,OUTRAM
TAXI STAND,1.28203977006202,103.840902458383,OUTRAM
TAXI STOP,1.28739548921377,103.844699362601,SINGAPORE RIVER
