mrt_stn,taxi_st_id
CC3,kml_135
CC3,kml_142
CC5,kml_340
CC6,kml_58
CC8,kml_126
CC9,kml_303
EW8,kml_303
CC12,kml_307
CC13,kml_129
NE12,kml_129
CC14,kml_308
CC15,kml_260
NS17,kml_260
CC16,kml_149
CC17,kml_252
TE9,kml_252
CC19,kml_21
DT9,kml_21
CC20,kml_184
CC21,kml_91
CC22,kml_268
EW21,kml_268
CC25,kml_217
CC29,kml_182
NE1,kml_182
CG1,kml_77
DT35,kml_77
CG2,kml_41
CG2,kml_256
DT1,kml_330
DT1,kml_342
DT2,kml_73
DT3,kml_72
DT3,kml_74
DT5,kml_106
DT6,kml_79
DT7,kml_201
DT8,kml_320
DT8,kml_321
DT10,kml_105
DT11,kml_102
NS21,kml_102
DT13,kml_236
DT13,kml_239
DT14,kml_133
EW12,kml_133
DT15,kml_140
CC4,kml_140
DT18,kml_7
DT19,kml_322
NE4,kml_322
DT20,kml_88
DT21,kml_55
DT22,kml_237
DT24,kml_78
DT25,kml_86
DT25,kml_87
DT26,kml_233
CC10,kml_233
DT27,kml_228
DT27,kml_230
DT28,kml_225
DT28,kml_226
DT29,kml_229
DT29,kml_231
DT30,kml_80
DT30,kml_83
DT31,kml_222
DT31,kml_223
DT33,kml_227
DT34,kml_349
DT34,kml_350
EW1,kml_123
EW2,kml_181
DT32,kml_181
EW4,kml_85
EW4,kml_127
EW5,kml_306
EW5,kml_317
EW6,kml_90
EW8,kml_300
CC9,kml_300
EW9,kml_313
EW11,kml_336
EW12,kml_153
DT14,kml_153
EW13,kml_232
NS25,kml_232
EW14,kml_174
NS26,kml_174
EW15,kml_203
EW16,kml_32
NE3,kml_32
EW17,kml_209
EW18,kml_274
EW19,kml_71
EW19,kml_278
EW20,kml_118
EW20,kml_279
EW22,kml_111
EW22,kml_288
EW23,kml_113
EW25,kml_292
EW26,kml_272
EW27,kml_81
EW27,kml_119
EW27,kml_314
EW28,kml_54
EW29,kml_286
EW30,kml_323
EW30,kml_325
