Name,taxi_st_type,taxi_st_lat,taxi_st_lon,taxi_pln_area,mrt_stn
kml_1,TAXI STAND,1.281260537,103.8443583,OUTRAM,
kml_2,TAXI STAND,1.281408978,103.8474459,OUTRAM,
kml_3,TAXI STAND,1.310559219,103.8475102,KALLANG,
kml_4,TAXI STAND,1.282390938,103.8452704,OUTRAM,
kml_5,TAXI STAND,1.282478991,103.8462512,OUTRAM,
kml_6,TAXI STAND,1.28287237,103.8440461,OUTRAM,
kml_7,TAXI STAND,1.281847826,103.8489463,OUTRAM,DT18
kml_8,TAXI STOP,1.280225605,103.8487581,DOWNTOWN CORE,
kml_9,TAXI STAND,1.382652394,103.8931862,SENGKANG,NE15
kml_10,TAXI STOP,1.278939062,103.8479732,DOWNTOWN CORE,
kml_11,TAXI STAND,1.417090383,103.8330578,YISHUN,NS14
kml_12,TAXI STOP,1.421862889,103.7612653,SUNGEI KADUT,
kml_13,TAXI PICK UP,1.271550344,103.8192134,BUKIT MERAH,
kml_14,TAXI STAND,1.321696066,103.8463209,NOVENA,
kml_15,TAXI STOP,1.325126534,103.8415659,NOVENA,
kml_16,TAXI STAND,1.317254413,103.8440525,NOVENA,
kml_17,TAXI STAND,1.319629302,103.8435724,NOVENA,NS20
kml_18,TAXI STOP,1.280202789,103.8505923,DOWNTOWN CORE,
kml_19,TAXI STAND,1.350892742,103.8729105,SERANGOON,NE12
kml_20,TAXI STOP,1.285631928,103.8537966,DOWNTOWN CORE,
kml_21,TAXI STAND,1.321468202,103.8144251,TANGLIN,CC19
kml_22,TAXI STAND,1.385293286,103.9012429,SENGKANG,
kml_23,TAXI STAND,1.302232334,103.9050371,MARINE PARADE,
kml_24,TAXI STAND,1.291943805,103.8503478,DOWNTOWN CORE,
kml_25,TAXI STOP,1.290980847,103.8513963,DOWNTOWN CORE,
kml_26,TAXI STAND,1.291819373,103.8494748,MUSEUM,
kml_27,TAXI STOP,1.291125449,103.8504073,DOWNTOWN CORE,
kml_28,TAXI STOP,1.294475761,103.8529066,DOWNTOWN CORE,
kml_29,TAXI STOP,1.294356469,103.8481855,MUSEUM,
kml_30,TAXI STAND,1.281754419,103.8416967,OUTRAM,
kml_31,TAXI STAND,1.280380852,103.8406394,OUTRAM,
kml_32,TAXI STAND,1.281254938,103.8391303,OUTRAM,EW16
kml_33,TAXI STAND,1.278866655,103.8418324,OUTRAM,
kml_34,TAXI STAND,1.28203977,103.8409025,OUTRAM,
kml_35,TAXI STOP,1.287395489,103.8446994,SINGAPORE RIVER,
kml_36,TAXI STAND,1.284020502,103.8419793,OUTRAM,
kml_37,TAXI STAND,1.285536889,103.8448215,OUTRAM,
kml_38,TAXI STOP,1.305492026,103.9296707,BEDOK,
kml_39,TAXI STAND,1.285404901,103.8431992,OUTRAM,
kml_40,TAXI STOP,1.361146082,103.9902847,CHANGI,
kml_41,TAXI STOP,1.355824393,103.9885414,CHANGI,CG2
kml_42,TAXI STAND,1.274131784,103.8249061,BUKIT MERAH,
kml_43,TAXI STAND,1.436350427,103.7850772,WOODLANDS,NS09
kml_44,TAXI STAND,1.332294793,103.7429793,JURONG EAST,NS1
kml_45,TAXI STAND,1.298152768,103.8448976,MUSEUM,NE06
kml_46,TAXI STAND,1.297018552,103.8439529,MUSEUM,
kml_47,TAXI STAND,1.302946842,103.850958,ROCHOR,
kml_48,TAXI STAND,1.299994088,103.8526692,ROCHOR,
kml_49,TAXI STAND,1.296180305,103.8504052,MUSEUM,
kml_50,TAXI STOP,1.297708995,103.8491559,MUSEUM,
kml_51,TAXI STOP,1.297462319,103.8493193,MUSEUM,
kml_52,TAXI PICK UP,1.295723358,103.8525932,DOWNTOWN CORE,
kml_53,TAXI STAND,1.307305418,103.8201,TANGLIN,
kml_54,TAXI STAND,1.337759662,103.6976284,JURONG WEST,EW28
kml_55,TAXI STOP,1.298437318,103.8502686,MUSEUM,DT21
kml_56,TAXI STAND,1.306453899,103.7882537,QUEENSTOWN,
kml_57,TAXI PICK UP,1.30464182,103.8359038,ORCHARD,
kml_58,TAXI STAND,1.303801653,103.8770268,KALLANG,CC06
kml_59,TAXI STAND,1.404878,103.9026918,PUNGGOL,NE17
kml_60,TAXI STAND,1.304362517,103.8354873,NEWTON,
kml_61,TAXI STOP,1.303434339,103.837644,NEWTON,
kml_62,TAXI STAND,1.303792886,103.8361832,ORCHARD,
kml_63,TAXI STAND,1.304194087,103.8338005,ORCHARD,
kml_64,TAXI STAND,1.307408007,103.8333484,ORCHARD,
kml_65,TAXI PICK UP,1.307161324,103.8355946,NEWTON,
kml_66,TAXI PICK UP,1.301573952,103.8368235,ORCHARD,
kml_67,TAXI STAND,1.30230536,103.8344144,ORCHARD,
kml_68,TAXI PICK UP,1.302023073,103.8358037,ORCHARD,
kml_69,TAXI STAND,1.30376588,103.8328703,ORCHARD,NS22
kml_70,TAXI STAND,1.299804525,103.8423932,ORCHARD,
kml_71,TAXI STAND,1.294521229,103.8064059,QUEENSTOWN,EW19
kml_72,TAXI STOP,1.362544489,103.7672205,BUKIT BATOK,DT03
kml_73,TAXI STAND,1.370277228,103.7641509,BUKIT PANJANG,DT02
kml_74,TAXI STOP,1.362515908,103.76762,BUKIT PANJANG,DT03
kml_75,TAXI STAND,1.354386362,103.9426072,TAMPINES,
kml_76,TAXI STAND,1.336325736,103.7830711,BUKIT TIMAH,
kml_77,TAXI PICK UP,1.334034081,103.9614085,TAMPINES,CG1
kml_78,TAXI STAND,1.321466887,103.8711599,KALLANG,DT24
kml_79,TAXI STOP,1.335773115,103.7832418,BUKIT TIMAH,DT06
kml_80,TAXI STAND,1.33660992,103.9333949,BEDOK,DT30
kml_81,TAXI STOP,1.338334586,103.7071156,JURONG WEST,EW27
kml_82,TAXI STAND,1.359910429,103.8845896,HOUGANG,NE13
kml_83,TAXI STAND,1.336361134,103.9330429,BEDOK,DT30
kml_84,TAXI STAND,1.335932935,103.9609218,TAMPINES,
kml_85,TAXI STOP,1.327275921,103.9456557,BEDOK,EW04
kml_86,TAXI STOP,1.325877279,103.8838682,GEYLANG,DT25
kml_87,TAXI STOP,1.327412252,103.8831434,GEYLANG,DT25
kml_88,TAXI STAND,1.292300894,103.8441954,SINGAPORE RIVER,DT20
kml_89,TAXI STAND,1.31475239,103.8940528,GEYLANG,
kml_90,TAXI STAND,1.320756596,103.9124284,BEDOK,EW06
kml_91,TAXI STAND,1.31005495,103.7954437,QUEENSTOWN,CC21
kml_92,TAXI STAND,1.358811409,103.7515032,BUKIT BATOK,NS03
kml_93,TAXI STAND,1.265104882,103.8231593,BUKIT MERAH,NE01
kml_94,TAXI STAND,1.31629199,103.8357898,NEWTON,
kml_95,TAXI STAND,1.312491499,103.8532207,KALLANG,NE08
kml_96,TAXI STAND,1.312629759,103.8535909,ROCHOR,NE08
kml_97,TAXI STAND,1.392632541,103.8952683,SENGKANG,NE16
kml_98,TAXI STAND,1.264630332,103.8206047,BUKIT MERAH,
kml_99,TAXI STAND,1.405508036,103.9022062,PUNGGOL,NE17
kml_100,TAXI STAND,1.331125569,103.9254694,BEDOK,
kml_101,TAXI STAND,1.31217166,103.9389592,BEDOK,
kml_102,TAXI STOP,1.313754454,103.8373414,NEWTON,DT11
kml_103,TAXI STAND,1.343191424,103.7757226,BUKIT TIMAH,
kml_104,TAXI STAND,1.331614617,103.8693398,TOA PAYOH,NE10
kml_105,TAXI STOP,1.319919208,103.8262859,TANGLIN,DT10
kml_106,TAXI STAND,1.342183735,103.7758115,BUKIT TIMAH,DT05
kml_107,TAXI STAND,1.397157076,103.7475233,CHOA CHU KANG,NS05
kml_108,TAXI STAND,1.338643631,103.7788833,BUKIT TIMAH,
kml_109,TAXI STAND,1.441774133,103.8245321,SEMBAWANG,
kml_110,TAXI STAND,1.332542751,103.8689372,TOA PAYOH,
kml_111,TAXI STAND,1.31140266,103.7791633,QUEENSTOWN,EW22
kml_112,TAXI STAND,1.342310322,103.9529113,TAMPINES,
kml_113,TAXI STAND,1.314116893,103.7654788,CLEMENTI,EW23
kml_114,TAXI STAND,1.371915507,103.8292055,ANG MO KIO,
